organization_name,,address,physicalcity,,,location,lat,lng,Phone Number,,,,,,,,residential_offered,oupatient_offered,oupatient_offered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,Q1,Q4,Q5,Q7,Q8,,,,Q9,Q15,Q19_1,Q19_2,Q19_3,Q20_1,Q20_2,Q20_3,Q10_1,,Q10_2,Q10_3,Q10_4,Q10_5,Q52,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_11_TEXT,Q28,Q42,Q33,Q46,Q53,Q38,Q43_1,Q43_2,Q43_3,Q43_3_TEXT,Q39,Q40,Q44,Q54,Q47,Q13_1,Q13_2,Q21_1,Q21_2,Q23,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q45,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q24,Q48,Q49,Q50,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_5_TEXT,Q18,Q41,Q56,Q37,LocationLatitude,LocationLongitude,LocationAccuracy
Agape Counseling Services,1,"1711 Destiny Lane, Suite 111",Bowling Green,Warren,42104,"1711 Destiny Lane, Suite 111 Bowling Green, Kentucky 42104",36.9594722,-86.4468362,270-846-3853,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This program provides outpatient services for those who have been convicted of DUI.,,1,38.06149292,-84.45659637,-1
Rivendell Behavioral,1,,,,," , Kentucky ",37.8393332,-84.2700179,,1,1,1,1,,1,1,1,1,1,1,,,1,,,,1,,,,,,,1,,1,,1,No narcotic pain medication.,,,,,,,,,,,,1,1,1,1,,1,1,,1,,,1,1,,,,,,2,2,,2,,,,,,,1,"This program provides adult and adolescent services.  Detox for adults only.  Adult residential program is 28 days, youth is 45 days.  If self pay, it is $5400 per week.",,1,38.06149292,-84.45659637,-1
Solutions Counseling Services,1,"227 Saint Ann Street, Suite 304",Owensboro,Daviess,42303,"227 Saint Ann Street, Suite 304 Owensboro, Kentucky 42303",37.773929,-87.11201,270-684-7239,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This is an outpatient program that provides services to those convicted of DUI.,,1,38.06149292,-84.45659637,-1
"Lighthouse Counseling Services, Inc.",1,230 2nd Street,Henderson,Henderson,42420,"230 2nd Street Henderson, Kentucky 42420",37.8400294,-87.5907526,270-826-8761,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,1,,,1,1,,,,,,2,2,,2,,,,,,,1,"www.lighthousecounselingservicesinc.com detailed information on fees, services, etc.",,1,38.06149292,-84.45659637,-1
"Counseling Center, Inc.",1,"101 East 2nd Street, Suite 105",Owensboro,Daviess,42420,"101 East 2nd Street, Suite 105 Owensboro, Kentucky 42420",37.775138,-87.111006,270-689-3884,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This outpatient program provides services to those who have been convicted of DUI.,,1,38.06149292,-84.45659637,-1
Time Out Community Counseling,1,201 West Main Street,Scottsville,Allen,42164,"201 West Main Street Scottsville, Kentucky 42164",36.7530664,-86.1919593,270-237-3463,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This agency provides outpatient services to those who have been convicted of DUI.,,1,38.06149292,-84.45659637,-1
New Way of Life Counseling,1,235 Saint Ann Street,Owensboro,Daviess,42303,"235 Saint Ann Street Owensboro, Kentucky 42303",37.7738933,-87.1122705,270-684-8005,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This program provides outpatient services to those who have been convicted of DUI.,,1,38.06149292,-84.45659637,-1
Healthy Choice Center,1,1 North Main Street,Madisonville,Hopkins,42431,"1 North Main Street Madisonville, Kentucky 42431",37.3477198,-87.4983054,270-825-2070,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,The outpatient DUI program provides services to those who have been convicted of DUI.,,1,38.06149292,-84.45659637,-1
"Behavioral Resources, Inc.",1,16 Court Street,Madisonville,Hopkins,42431,"16 Court Street Madisonville, Kentucky 42431",37.3275246,-87.4988091,270-824-9355,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This outpatient program provides services to those who have been convicted of DUI.,,1,38.06149292,-84.45659637,-1
ADAPT Counseling Services,1,125 1st Street,Henderson,Henderson,42420,"125 1st Street Henderson, Kentucky 42420",37.8397454,-87.5932011,270-454-4558,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,The outpatient program provides outpatient services to those convicted of DUI.,,1,38.06149292,-84.45659637,-1
A New Horizon Counseling,1,403 West 9th Street,Hopkinsville,Hopkins,42240,"403 West 9th Street Hopkinsville, Kentucky 42240",36.8665614,-87.4914071,270-890-9924,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This outpatient program provides services to those convicted of DUI.,,1,38.06149292,-84.45659637,-1
Selfrefind,1,216 Berger Road,Paducah,,,"216 Berger Road Paducah, Kentucky ",37.0600841,-88.6392098,866-755-4528,2,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,,,1,,,,,1,Opiate addicts,1,This program may accept insurance in the future.  Call for more information.,,1,38.06149292,-84.45659637,-1
Self Refind,1,710 Carlton Drive,Owensboro,Daviess,42302,"710 Carlton Drive Owensboro, Kentucky 42302",37.7244839,-87.12173,866-755-4258,2,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,,,1,,,,,1,Opiate addicts,1,"Currently this is a self-pay program, however, they may begin accepting insurance.  Please call program for further info.",,1,38.06149292,-84.45659637,-1
CDR USAMEDDAC Army Substance Abuse Program,1,DHR,"22nd Street, Building 2526",Christian,42223,"DHR 22nd Street, Building 2526, Kentucky 42223",36.6154475,-87.4901086,270-412-6883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,1,Active Duty Military,1,This program is for active duty military ONLY.,,1,38.06149292,-84.45659637,-1
Pennroyal,1,607 Hammond Place,Hopkinsville,Christian,42240,"607 Hammond Place Hopkinsville, Kentucky 42240",36.829954,-87.4764164,270-886-0486,2,,,,,,,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,1,1,,1,1,,,,,,2,,,1,1,1,,,,,1,Pennyroyal Community Mental Health Center offers various levels of SA services located throughout its service region.  Call center for program specifics.,,1,38.13459778,-84.4957962,-1
"Behavioral Resources, Inc.  ",3,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.13459778,-84.4957962,-1
Community Counseling Center,1,110 East Main Street,Morganfield,Union,42437,"110 East Main Street Morganfield, Kentucky 42437",37.6836769,-87.9166737,270-313-4714,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This outpatient progam provides services to people that have been convicted of DUI.,,1,38.13459778,-84.4957962,-1
New Day Recovery Center,1,2647 Regency Rd suite 101,Lexington,Fayette,40503,"2647 Regency Rd suite 101 Lexington, Kentucky 40503",37.999837,-84.525884,859-277-4357,2,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,Will have addiction training,,,,1,1,1,,,1,,1,,,1,1,,1,,1,1,2,2,,2,,,,,,,1,"Is in the process of starting to offer buprenorphine services, but does not currently do so",,1,38.02870178,-84.50749969,-1
,1,2647 Regency Rd suite 101,Lexington,Fayette,40503,"2647 Regency Rd suite 101 Lexington, Kentucky 40503",37.999837,-84.525884,,2,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,Addiction training,,,,1,1,1,,,1,,1,,,1,1,,1,,1,1,1,2,,2,,,,,,,1,Same office as New Day Recovery Center; will be offering buprenorphine services soon,,1,38.02870178,-84.50749969,-1
Lexington Behavioral Health,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Didn't offer a better date or time when asked, I left my information with them",1,38.02870178,-84.50749969,-1
Four Rivers Behaioral Health Fuller Center,1,1525 Cuba Road,Mayfield,Graves,42066,"1525 Cuba Road Mayfield, Kentucky 42066",36.7218389,-88.632044,270-247-2588,1,,,1,,,1,1,1,1,1,,,1,,,,1,,,,,,,,,1,,1,The programs allows some medications.,,,,,,,,,,,,,1,1,1,,,1,,1,,,1,1,,,,,,2,1,"The facility is unable to accept those with signifcant medical needs that require around the clock care (no IVs, for example).",1,1,1,1,,,,1,"Many insurances accepted, for self pay, $4200 required up front.  Dual diagnosis services available.  Outpatient and IOP offered at this location, as well.  They don't presecribe methadone but if you enter the program while on methadone, you may continue taking it.  ",,1,38.13459778,-84.4957962,-1
"Behavioral Management, LLC",1,"100 North 6th Street, Suite 14",Murray,Calloway,42071,"100 North 6th Street, Suite 14 Murray, Kentucky 42071",36.6106162,-88.3044365,270-753-9797,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This program provides outpatient services to those convicted of DUI.,,1,38.13459778,-84.4957962,-1
Ensite LLC,1,270-443-1201,Paducah,McCracken,42001,"270-443-1201 Paducah, Kentucky 42001",37.068826,-88.642413,270-443-1201,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This program provides outpatient services to those who have been convicted of DUI.,,1,38.13459778,-84.4957962,-1
"Behavioral Management, LLC",1,2607 Jackson Street,Paducah,McCracken,42003,"2607 Jackson Street Paducah, Kentucky 42003",37.0691582,-88.6252314,270-442-2223,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This program provides outpatient services for those whohave been convicted of DUI.,,1,38.13459778,-84.4957962,-1
Millstone Center,1,4001 Hansen Road,Paducah,McCracken,42001,"4001 Hansen Road Paducah, Kentucky 42001",37.0646906,-88.6802901,270-554-9216,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This program offers outpatient services to those convicted of DUI.,,1,38.13459778,-84.4957962,-1
Community Counseling Center,1,509 West 9th Street Suite B,Hopkinsville,Christian,42240,"509 West 9th Street Suite B Hopkinsville, Kentucky 42240",36.8666832,-87.491995,270-886-1515,2,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,"This program accepts some insurances but is primarilry self pay.  Provides outpatient and intensive outpatient, DUI treatment approved provider.",,1,38.13459778,-84.4957962,-1
,,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
,1,501 Darby Creek Rd #21,Lexington,Fayette,40509,"501 Darby Creek Rd #21 Lexington, Kentucky 40509",38.007821,-84.4332254,859-263-9305,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,1,,,1,1,1,1,,1,1,2,2,,2,,,,,,,1,Provides 15 minutes office visits; is in the process of beginning to accept Anthem Medicaid,,1,38.02870178,-84.50749969,-1
"Michael Rieser, MD",1,3050 Rio Dosa Dr,Lexington,Fayette,40509,"3050 Rio Dosa Dr Lexington, Kentucky 40509",38.004533,-84.442675,859-268-6436,2,,,,,,,1,1,1,1,,,1,,,,,,,,,,,1,as needed,1,,1,"controlled substances, hypnotic sleep aids, gabapentin, ",,,,,,,,,,,,1,1,1,1,,1,1,,1,,,1,1,1,1,1,1,1,2,2,,2,,,,,,,1,Offers medical detoxification services,,1,38.02870178,-84.50749969,-1
Shepherd's House,1,154 Bonnie Brae Drive,Lexington,Fayette,40508,"154 Bonnie Brae Drive Lexington, Kentucky 40508",38.0362855,-84.5099313,859-252-1939,2,,,,,,,1,1,1,,,,1,,,,,,,,1,,,1,12-18 months,1,,1,Anything considered addictive - needs approved by staff,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,1,1,"Must volunteer if can't work/disabled, must be able to walk upstairs",2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Lexington Center for Opioid Dependence,1,2375 Professional Heights Dr Suite 210,Lexington,Fayette,40503,"2375 Professional Heights Dr Suite 210 Lexington, Kentucky 40503",38.00389,-84.517133,859-317-9159,2,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,1,,,1,"Board Certified Addictionologists, CABC Counselor",1,1,"Addictionologists, CABC counselor",,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Jason Thomas,1,3306 Playsmill Rd Suite 104,Lexington,Fayette,40503,"3306 Playsmill Rd Suite 104 Lexington, Kentucky 40503",38.0103355,-84.5327038,859-327-1042,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,1,1,,,,,,2,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Lighthouse Ministries,1,185 Elm Tree Ln,Lexington,Fayette,40507,"185 Elm Tree Ln Lexington, Kentucky 40507",38.0454549,-84.490846,859-259-3434,2,,,,,,,1,,,,,,1,,,,,,,1,,,,1,12 Months,2,2,1,Most are not allowed - must be approved by staff on an individual basis,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,2,1,Patients must be able to walk up stairs and climb into bunk beds,2,,,,,,,1,"Is a ""Christ-centered"" facility, but doesn't gear services towards certain individuals. Also, a $300 payment is needed upfront, but there is no charge for the actual services besides that.",,1,38.02870178,-84.50749969,-1
Jesse G. Harris Psychological Services Center,1,644 Maxwelton Ct,Lexington,Fayette,40508,"644 Maxwelton Ct Lexington, Kentucky 40508",38.0363324,-84.5089872,859-257-6853,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,1,1,,,,,,2,1,"Restricted on a case-by-case basis; some examples may be serious substance abusers - not recreational substance abusers, or people in serious legal issues",2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Bluegrass Family Consu,1,501 Darby Creek Rd,Lexington,Fayette,40509,"501 Darby Creek Rd Lexington, Kentucky 40509",38.007821,-84.4332254,859-227-2337,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,1,1,,,,,,2,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Refuge for Women,1,342 Waller Ave Suite D,Lexington,Fayette,40504,"342 Waller Ave Suite D Lexington, Kentucky 40504",38.029187,-84.517715,859-254-0041,2,,,,,,,1,,,,,,1,,,,,,,1,,,,1,"Require at least 3 months in the program, but has graduation after a year",1,,1,"Wasn't sure what medications, but said there were probably some not allowed",,,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,,,1,1,No medical people on staff so significant disabilities or proufound mental illnesses wouldn't be accepted,1,,,,,1,Main focus is getting women out of the sex industry,1,,,1,38.02870178,-84.50749969,-1
Narcotics Addiction Program,1,3161 Custer Dr,Lexington,Fayette,40517,"3161 Custer Dr Lexington, Kentucky 40517",37.9877672,-84.4598412,859-977-6080,2,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,Unknown,1,1,,1,1,1,,1,1,,1,,,1,1,1,1,1,1,1,2,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Stephen B Lamb MD,1,436 West 2nd St,Lexington,Fayette,40507,"436 West 2nd St Lexington, Kentucky 40507",38.051702,-84.498956,859-253-9024,1,,1,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,1,1,,1,,,1,1,MD specialty in psychiatry and addiction,,,,1,1,1,,,,1,,,,1,1,,,,,,1,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Beaumont Behavioral Health,1,1030 Monarch St,Lexington,Fayette,40513,"1030 Monarch St Lexington, Kentucky 40513",38.0217,-84.5547708,859-296-3141,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,1,1,,1,1,,,,,,1,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
KVC Kentucky,1,900 Beasley St Suite 120,Lexington,Fayette,40509,"900 Beasley St Suite 120 Lexington, Kentucky 40509",38.0417505,-84.4472643,859-254-1035,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,,,,1,2,,1,1,1,,2,1,"Will not take people currently undergoing detox, highly autistic individuals or others who may have difficulty speaking for themselves, schizophrenic individuals",1,,,,,1,"High priority given to: high-risk (e.g. suicidal or homicidal individuals), children with substance abuse or tobacco problems",1,,,1,38.02870178,-84.50749969,-1
Dr. Clayton Hall,1,171 N Eagle Creek Dr Suite 104,Lexington,Fayette,40509,"171 N Eagle Creek Dr Suite 104 Lexington, Kentucky 40509",38.0016802,-84.4393862,859-333-1477,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,Accepts children under 18 on a case-by-case basis,,1,38.02870178,-84.50749969,-1
Nolan Inc.,1,2401 Regency Rd 102,Lexington,Fayette,40503,"2401 Regency Rd 102 Lexington, Kentucky 40503",38.0052059,-84.525377,859-278-4673,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,2,,,,,,2,1,Not equip to handle people with serious phyisical or mental health diagnoses,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Simon House,1,208 W Campbell St,Frankfort,Franklin,40601,"208 W Campbell St Frankfort, Kentucky 40601",38.1911768,-84.8770197,502-223-2138,2,,,,,,,1,,,,,,1,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,,,2,2,,1,1,,,,1,Women with children,1,,,1,38.02870178,-84.50749969,-1
Addiction Recovery Care,1,3651 US HW 2565,Louisa,,41230,"3651 US HW 2565 Louisa, Kentucky 41230",38.0972723,-82.6151435,606-689-8035,2,,,,,,,1,1,1,1,,1,1,,,,,,,,,,,1,"Minimum 37 days, some programs last up to 180 days ",2,1,1,Most medications are not allowed,1,1,1,1,,,1,2,,,,,1,1,1,,,1,1,1,,,1,2,1,,1,1,1,2,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Priscilla's Place Teen Challenge,1,1155 E Broadway St,Louisville,Jefferson,40204,"1155 E Broadway St Louisville, Kentucky 40204",38.3189653,-85.7540012,502-561-2131,2,,,,,,,1,,,,,,1,,,,,1,,1,,,,1,5-8 week crisis program as well as a year-long program,2,2,1,narcotic and psychotropic medication,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,,1,1,Only if the medical condition requires the individual to be on one of the restricted medications,1,,,,1,,,1,"Women cannot be in detox to receive treatment here. They prefer women to drug test negative before entering the program, but that isn't always the case",,1,38.02870178,-84.50749969,-1
Independence House,1,3110 Cumberland Falls Hwy,Corbin,Willy,40701,"3110 Cumberland Falls Hwy Corbin, Kentucky 40701",36.9124056,-84.1437181,606-523-9386,2,,,,,,,1,,,,,,1,,,,,1,,,,,,1,40 day program or 30 days after delivery for pregnant women only,1,,1,"Many medications are not allowed, determined on a case-by-case basis",,,,,,,,,,,,,1,,1,1,,1,1,1,,,1,1,1,,1,1,1,2,1,must be physically and mentally stable to enter the program,1,1,,,1,,,1,,,1,38.02870178,-84.50749969,-1
,,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Pikeville Medical Center,3,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.02870178,-84.50749969,-1
Morehead Inspiration Center,1,1111 US 60 W,Morehead,Rowan,40351,"1111 US 60 W Morehead, Kentucky 40351",38.1415139,-83.5445967,606-783-0404,1,1,1,,,,1,1,,,,,,1,,,,,,,1,,,,1,6-9 month,1,,1,"Mostly psych medications (don't do dual diagnosis), pain meds",,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,2,1,"Don't treat dual diagnosis, must be able to walk up to 1 mile without assistance, no violent or sexual offenses ",2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Trilogy Center for Women,1,100  Trilogy Ave,Hopkinsville,Christian,42240,"100  Trilogy Ave Hopkinsville, Kentucky 42240",36.863133,-87.4480879,270-885-2902,2,,,,,,,1,,,,,,1,,,,,,,1,,,,1,6-9 months,1,,1,Any narcotics,,,,,,,,,,,,,1,,1,1,1,1,1,1,,,1,2,1,1,1,1,1,2,1,Must be able to walk,1,,,,,1,women who have been through abuse,1,,,1,38.02870178,-84.50749969,-1
Owensboro Regional Recovery Center for Men,1,4301 Veach Rd,Owensboro,Davis,42303,"4301 Veach Rd Owensboro, Kentucky 42303",37.7260769,-87.10523,270-689-0905,2,,,,,,,1,,,,,,1,,,,,,,,,,,1,6-9 months,1,,1,Listed on the website,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,2,1,must be able to take care of themselves on daily basis and walk unassisted,1,,,1,,,,1,,,1,38.02870178,-84.50749969,-1
Centerpoint Recovery Center for Men,1,530 County Park Rd,Paducah,McCracken,42001,"530 County Park Rd Paducah, Kentucky 42001",37.0920177,-88.6034567,270-444-3640,1,1,1,,,,1,1,,,,,,1,,,,,,1,,,,,,,1,,1,Narcotics as well as many other. Certain drugs accepted on a case-by-case basis,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,2,1,"must be able to walk a mile unassisted, there is no medical facility on grounds so individuals with serious medical conditions may not be accepted",1,,1,,,,,1,,,1,38.02870178,-84.50749969,-1
Baptist Health Louisville,1,4000 Kresge Way,Louisville,Jefferson,40207,"4000 Kresge Way Louisville, Kentucky 40207",38.2381641,-85.6388311,502-896-7105,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,1,1,,,,,,2,1,Significant health problems,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
Shepherd's Shelter and Ross Rehab,1,236 Bridgett Dr.,Mount Sterling,Montgomery,40353,"236 Bridgett Dr. Mount Sterling, Kentucky 40353",38.0520812,-83.931245,859-498-7111,1,1,1,,,,1,1,1,,1,,,1,,,,,,1,,1,,,1,6-18 months,1,,1,Narcotics,,,,,,,,,,,,,1,1,1,,,,1,,,,1,1,,,,,,2,2,,2,,,,,,,1,,,1,38.04899597,-84.48549652,-1
Genesis Program,1,2400 Russelville Rd,Hopkinsville,Christian,42240,"2400 Russelville Rd Hopkinsville, Kentucky 42240",36.8628411,-87.4501452,"1-877-473-7766 for non-locals, 270-881-9551 for local residents",2,,,,,,,1,,,,,,1,,,,1,,,,,,,,,1,,1,controlled substances,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,,,2,1,must be mobile and take care of themselves,2,,,,,,,1,,,1,38.04899597,-84.48549652,-1
Wellsprings House,1,120 W College St,Louisville,Jefferson,40203,"120 W College St Louisville, Kentucky 40203",38.24314,-85.7550171,502-584-2870,2,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,1,,2,,,,,,,,,,,,,,1,1,1,,1,1,,1,,,1,2,,,,,,2,2,,1,,,,,1,People diagnosed with severe mental illness,1,Person I talked to was unsure of what types of Medicaid they accepted and also unsure of any medications they might restrict,,1,38.04899597,-84.48549652,-1
Layne House,1,1416 S Lake Dr,Prestonburg,Floyd,41653,"1416 S Lake Dr Prestonburg, Kentucky 41653",37.6675978,-82.734496,606-886-7839,2,,,,,,,1,1,1,1,,,1,,,,,1,,,,,,1,45-90 days,1,,1,Case-by-case basis depends what they need the prescriptions for,,,,,,,,,,,,,1,1,1,,,,1,,,,1,1,,,,,,2,2,,1,1,1,1,,,,1,The outpatients services can be offered by individuals under 18 and they also accept private insurance and Medicaid; the residential treatment program is only 18 and over and does not accept insurance,,1,38.04899597,-84.48549652,-1
Fuller Center,1,1525 Cuba Rb,Mayfield,Graves,42066,"1525 Cuba Rb Mayfield, Kentucky 42066",36.7218389,-88.632044,270-247-2588,1,1,1,,,,1,1,1,1,1,,,1,,,,1,,,,,,,,,1,,1,Done on a case-by-case basis,,,,,,,,,,,,1,1,1,1,,,1,,1,1,,1,1,1,1,1,1,1,2,1,As long as they're not a danger to themselves of others they will be accepted,1,1,1,1,,,,1,"Offers outpatient services to individuals under 18, but not the residential treatment",,1,38.04899597,-84.48549652,-1
